,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,1109,2002,Barry Bonds,612,0.113,0.7020000000000001,0.366,0.43,0.37,0.582,0.799,bondb001
6,1274,2002,Alex Rodriguez,725,0.173,0.6709999999999999,0.431,0.517,0.3,0.392,0.623,rodra001
1,409,2002,Jim Thome,613,0.146,0.701,0.413,0.481,0.304,0.445,0.677,thomj002
8,778,2002,Vladimir Guerrero,709,0.336,0.861,0.5720000000000001,0.449,0.336,0.417,0.593,guerv001
3,990,2002,Brian Giles,644,0.099,0.637,0.358,0.482,0.298,0.45,0.622,gileb002
12,1153,2002,Jim Edmonds,576,0.1639999999999999,0.7090000000000001,0.4479999999999999,0.521,0.311,0.42,0.561,edmoj001
20,1119,2002,Jeff Kent,682,0.152,0.741,0.475,0.5489999999999999,0.313,0.368,0.565,kentj001
4,818,2002,Jason Giambi,689,0.145,0.638,0.379,0.475,0.314,0.435,0.598,giamj001
45,970,2002,Scott Rolen,667,0.142,0.7190000000000001,0.45,0.5329999999999999,0.266,0.357,0.503,roles001
34,96,2002,Andruw Jones,659,0.185,0.753,0.478,0.515,0.264,0.366,0.513,jonea002
14,548,2002,Lance Berkman,692,0.157,0.718,0.435,0.495,0.292,0.405,0.578,berkl001
13,97,2002,Chipper Jones,662,0.109,0.7240000000000001,0.42,0.506,0.327,0.435,0.536,jonec004
51,906,2002,Eric Chavez,653,0.211,0.7190000000000001,0.479,0.526,0.275,0.348,0.513,chave001
37,847,2002,Alfonso Soriano,741,0.3289999999999999,0.775,0.574,0.55,0.3,0.332,0.547,soria001
7,432,2002,Todd Helton,668,0.1669999999999999,0.7040000000000001,0.444,0.515,0.329,0.429,0.577,heltt001
84,1070,2002,Mike Cameron,640,0.153,0.64,0.405,0.517,0.239,0.34,0.442,camem001
5,455,2002,Larry Walker,553,0.166,0.747,0.471,0.524,0.338,0.421,0.602,walkl001
15,1177,2002,Albert Pujols,675,0.15,0.6659999999999999,0.422,0.528,0.314,0.394,0.561,pujoa001
53,589,2002,Carlos Beltran,722,0.174,0.706,0.452,0.523,0.273,0.346,0.501,beltc001
2,210,2002,Manny Ramirez,518,0.132,0.7020000000000001,0.43,0.523,0.349,0.45,0.647,ramim002
44,859,2002,Edgardo Alfonzo,562,0.1669999999999999,0.725,0.476,0.5539999999999999,0.308,0.391,0.459,alfoe001
18,945,2002,Bobby Abreu,685,0.133,0.583,0.362,0.509,0.308,0.413,0.521,abreb001
27,55,2002,Luis Gonzalez,633,0.127,0.706,0.417,0.5,0.288,0.4,0.496,gonzl001
66,826,2002,Derek Jeter,730,0.161,0.78,0.493,0.537,0.297,0.373,0.421,jeted001
9,302,2002,Sammy Sosa,666,0.207,0.7509999999999999,0.462,0.469,0.288,0.399,0.594,sosas001
50,735,2002,Jacque Jones,626,0.243,0.8079999999999999,0.55,0.545,0.3,0.341,0.511,jonej003
63,738,2002,Corey Koskie,576,0.155,0.723,0.446,0.511,0.267,0.368,0.447,koskc001
23,651,2002,Shawn Green,685,0.175,0.775,0.476,0.502,0.285,0.385,0.558,grees001
21,857,2002,Bernie Williams,699,0.138,0.682,0.412,0.505,0.333,0.415,0.493,willb002
